Model ID,Type,Base Model,Task,Library,License,Download,Model Category,Datasets,Missing Type
myhaaaaaaa/e7ccc0ce-c5d9-41df-83fe-0cea2cfe004d,adapter,DeepMount00/Llama-3-8b-Ita,,peft,llama3,4,Unknown,,
Da1adno/model04,,,text-generation,transformers,,13,NLP,,
mlfoundations-dev/b2_code_askllm_10k,finetune,Qwen/Qwen2.5-7B-Instruct,text-generation,transformers,apache-2.0,8,NLP,,
FrankCCCCC/res_DDPM-CIFAR10-32_CIFAR10_ep50_c1.0_p0.05_SM_BOX_MED-FASHION_new-set-2,,,,diffusers,,3,Unknown,,
sergeynog/bert-base-uncased-finetuned-swag,,,,,,0,Unknown,,
leoleung93/dqn-SpaceInvadersNoFrameskip-v4,,,reinforcement-learning,stable-baselines3,,12,Reinforcement Learning,,
xshubhamx/bart-large-lora,finetune,facebook/bart-large,,,apache-2.0,0,Unknown,,
nizarh1999/final_classification,finetune,yhavinga/t5-small-24L-ccmatrix-multi,text-classification,transformers,apache-2.0,28,NLP,,
Koshti10/BART_base_Gameplan,finetune,facebook/bart-base,text2text-generation,transformers,apache-2.0,31,NLP,,
Jade1211/textual_inversion_rocket,adapter,runwayml/stable-diffusion-v1-5,text-to-image,diffusers,creativeml-openrail-m,24,CV,,
jesusmabas/jesus,,,,,,0,Unknown,,
echojay/texttosql2,,,,,apache-2.0,25,Unknown,,
daslab-testing/QuEST-1.1B-INT4-test,,,,,,0,Unknown,,
minaiosu/Zenpand,,,,,,0,Unknown,,
stefan-it/hmbench-newseye-fi-hmbert_64k-bs4-wsFalse-e10-lr3e-05-poolingfirst-layers-1-crfFalse-5,finetune,dbmdz/bert-base-historic-multilingual-64k-td-cased,token-classification,flair,mit,2,NLP,,
henryscheible/bert-large-uncased_stereoset_classifieronly,,,text-classification,transformers,apache-2.0,22,NLP,stereoset,
Legalaz/25-llama-1.5,,,,,,10,Unknown,,
sharaku/verpinscht-v2,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,other,35,CV,,
Raizusekku/resnext101_32x8d_wsl,,,,,,0,Unknown,,
nvidia/slu_conformer_transformer_large_slurp,,,,nemo,cc-by-4.0,106,Unknown,SLURP,
ALWN/distilbert-base-multilingual-cased-finetuned-ner,,,token-classification,transformers,,22,NLP,,
shi-labs/dinat-tiny-in1k-224,,,image-classification,transformers,mit,74,CV,imagenet-1k,
zijian2022/act_p,,,,,,9,Unknown,,
bigband/FormidableAnubis,finetune,google/gemma-3-27b-it,text-generation,transformers,gemma,14,NLP,,
ashishu6543/table_detect,,,,,,0,Unknown,,
bowilleatyou/ba78a210-443e-4aab-87d6-8429ffc00670,,,,transformers,,0,Unknown,,
Deema/test_last,,,,,,0,Unknown,,
eduardobwbk/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,,,,,,0,Unknown,,
djuna/arcee-lite-Qwen2-2B,finetune,arcee-ai/arcee-lite,text-generation,transformers,,9,NLP,,
tomaszki/stablelm-45-a,,,text-generation,transformers,,27,NLP,,
xriminact/TarsChattyBasev0.1,,,,adapter-transformers,mit,0,Unknown,databricks/databricks-dolly-15k,
mi23/plants-morpho,,,token-classification,transformers,,23,NLP,,
hosnasn/Reza_DB200,finetune,stabilityai/stable-diffusion-xl-base-1.0,text-to-image,diffusers,,2,CV,,
the-acorn-ai/Qwen3-0.6B-OSP-ttt-self-play-step_00576,,,text-generation,transformers,,10,NLP,,
mradermacher/Nous-Hermes-2-Mistral-7B-DPO-i1-GGUF,quantized,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,,transformers,apache-2.0,1296,Unknown,teknium/OpenHermes-2.5,
FrankCCCCC/res_DDPM-CIFAR10-32_CIFAR10_ep50_c1.0_p0.0_SM_STOP_SIGN-FEDORA_HAT_new-set-1,,,,diffusers,,2,Unknown,,
DAKPLUTO/google-gemma-2b-1727031429,adapter,google/gemma-2b,,peft,,21,Unknown,,
Givemeaname123/NewYork_key9,,,any-to-any,,mit,0,Multimodal,,
martineux/anger,,,,,,0,Unknown,,
ti99wen/mt5-base-finetuned-news_scraper,,,,,,0,Unknown,,
SeoulX/emotion-classifier-taglish,,,text-classification,transformers,,18,NLP,,
Utkarsh03/hb_11,finetune,samhitmantrala/hb_2,text-classification,transformers,afl-3.0,9,NLP,,
dllmchh/Qwen-Qwen1.5-0.5B-1727200247,adapter,Qwen/Qwen1.5-0.5B,,peft,,3,Unknown,,
Thorns07/smolvla_test1,,,,,,9,Unknown,,
existsport/Qwen-Qwen1.5-0.5B-1724396632,adapter,Qwen/Qwen1.5-0.5B,,peft,,38,Unknown,,
zhongwen8868/Qwen-Qwen1.5-0.5B-1727146228,adapter,Qwen/Qwen1.5-0.5B,,peft,,16,Unknown,,
jtan4albany/ppo-lunarlander,,,reinforcement-learning,,,0,Reinforcement Learning,,
fowwwww/182,,,,,,0,Unknown,,
Karina49/prg,,,,,,0,Unknown,,
VectorStackAI/vstackai-law-1,,,,,,15,Unknown,,
RichardErkhov/EITD_-_phi_1-8bits,,,,,,6,Unknown,,
princekramm/d595603e-6f95-4f90-a717-6116152d4c52,,,,,,0,Unknown,,
etimgroup/test,,,,,apache-2.0,0,Unknown,,
dzanbek/3f9ca12e-2c4f-4aeb-b814-9d045d9b5bf4,adapter,UCLA-AGI/Gemma-2-9B-It-SPPO-Iter2,,peft,gemma,74,Unknown,,
aijack/arcane,,,,,mit,0,Unknown,,
molenbeek/molenai-flora,,,,,other,1,Unknown,,
faridlazuarda/aya-101-lora_rank4_lr5e-5-zh,adapter,CohereLabs/aya-101,,peft,,3,Unknown,,
MonKiwiLuffy/DVA-Overwatch_2,,,,,openrail,0,Unknown,,
genzilli/kylaa,,,,,other,1,Unknown,,
mradermacher/CaTinyLlama_M1_CA_TinyLlaama_M1-GGUF,quantized,2ndBestKiller/CaTinyLlama_M1_CA_TinyLlaama_M1,,transformers,,13,Unknown,,
mosharif/test,,,,,,0,Unknown,,
NAYEONCE9/yo,,,,,openrail,0,Unknown,,
Trace2333/dpo_v9_v2_reprompt,,,,,,9,Unknown,,
tftransformers/distilbert-multilingual-nli-stsb-quora-ranking-sentence-transformers,,,,transformers,,44,Unknown,,
Nubletz/bert-simplification-cnn-classifier,,,,,,0,Unknown,,
svjack/summary-dialogue-eng,,,text2text-generation,transformers,,27,NLP,,
Layer6/tr0n-stylegan2-clip,,,,,apache-2.0,0,Unknown,,
crybit/edge_tajpwsUizyphmctK,,,text-to-image,diffusers,,3,CV,,
aardvark-labs/stp-classifier-2-3,,,text-classification,transformers,,24,NLP,,
Nikhil058/poca-SoccerTwos,,,reinforcement-learning,ml-agents,,13,Reinforcement Learning,,
TOMFORD79/RS4,,,text-generation,transformers,,9,NLP,,
r2e-edits/14B-agent-filter15_testgenverifier_noagg_rft-20k_bz8_epoch2_lr1en5-v1,,,text-generation,transformers,,10,NLP,,
nomadrp/msimpo-30each-v6,finetune,meta-llama/Llama-3.1-8B-Instruct,,transformers,,0,Unknown,,
ambi/Reinforce-Pixelcopter-PLE-v0,,,reinforcement-learning,,,0,Reinforcement Learning,,
MayBashendy/ArabicNewSplits6_WithDuplicationsForScore5_FineTuningAraBERT_run3_AugV5_k7_task1_organization,finetune,aubmindlab/bert-base-arabertv02,text-classification,transformers,,9,NLP,,
Dhrumit1314/Age_and_Gender_Detection,,,image-classification,,mit,0,CV,,
jackmedda/answerdotai-ModernBERT-base_finetuned_augmented_augmented_llama3.1_70b,finetune,answerdotai/ModernBERT-base,text-classification,transformers,apache-2.0,9,NLP,,
qwertcz/12,,,,,bigscience-openrail-m,0,Unknown,,
wuxianchao/finnemotron-r1-sft,,,,,,0,Unknown,,
kimhan0515/deepseek-coder-1.3b-orpo-200-limit5-stdev1.8-shuffle-LR1e-4-beta1.0,,,,transformers,,0,Unknown,,
Dreamoon/ppo-LunarLander-v2,,,reinforcement-learning,stable-baselines3,,7,Reinforcement Learning,,
morish/whisper-medium-ko-v0_1_2,finetune,morish/whisper-medium-ko-v0_1_1,automatic-speech-recognition,transformers,apache-2.0,7,Audio,,
CabezaGrande/Misty,,,,,,0,Unknown,,
FounderOfHuggingface/gpt2_lora_r16_dbpedia_14_t75_e35_member_shadow32,adapter,openai-community/gpt2,,peft,,3,Unknown,,
genevera/mistral-orthogonalized-Q8_0-GGUF,quantized,cosmicvalor/mistral-orthogonalized,,,apache-2.0,3,Unknown,,
taratahseen/finetuned-fcoref-1681390388.733208,,,,transformers,,45,Unknown,,
ail-sa/swati_test2,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,other,3,CV,,
TheBloke/GEITje-7B-chat-AWQ,quantized,Rijgersberg/GEITje-7B-chat,text-generation,transformers,apache-2.0,43,NLP,"Rijgersberg/ultrachat_10k_nl, Rijgersberg/no_robots_nl",
numerouno00/748f5ad5-f477-48ed-a0f9-7096584ed75a,,,,,,16,Unknown,,
whizzzzkid/whizzzzkid_88_6,,,text-generation,transformers,,11,NLP,,
Dominic2106/Mistral-Hindi-Translate,finetune,unsloth/mistral-7b-bnb-4bit,,transformers,apache-2.0,0,Unknown,,
MaxReynolds/sd_pokemon_test1,,,,,,0,Unknown,,
Krabat/Qwen-Qwen1.5-0.5B-1726384233,adapter,Qwen/Qwen1.5-0.5B,,peft,,15,Unknown,,
RichardErkhov/jinoy_-_Llama-3.2-1B_synaptron-awq,,,,,,9,Unknown,,
Xrunner/hotkey-graphs,,,,,,0,Unknown,,
homersimpson/cat-pos-es-3,,,token-classification,transformers,,12,NLP,,
vnagin/tiana-queen-lora,adapter,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,other,3,CV,,
gegwegewgeg/myrjytrj,,,,,,0,Unknown,,
research-backup/roberta-large-semeval2012-v2-average-prompt-b-nce,,,feature-extraction,transformers,,24,NLP,relbert/semeval2012_relational_similarity_v2,
juancopi81/lmd-8bars-2048-epochs20_v2,,,text-generation,transformers,,34,NLP,,
John6666/bond-nsfw-xl10-sdxl,,,text-to-image,diffusers,creativeml-openrail-m,117,CV,,
heathershaw/DeepSeek-R1-Distill-Llama-8B-rk3588-1.1.2,,,text-generation,transformers,,7,NLP,,
Gautham10/llama_orca,,,,,,0,Unknown,,
sai17/vit-base-patch16-224-in21k-finetuned-series_front_cards,,,,,,0,Unknown,,
1-lock/62b3fc71-2a01-424c-88b2-9641c732388c,adapter,sethuiyer/Medichat-Llama3-8B,,peft,other,59,Unknown,,
Bubblyboo/distilbert-base-uncased-finetuned-squad,,,,,,0,Unknown,,
